year,quarter,region,age_group,labor_force_sta,value,unit,source
2560,ไตรมาสที่ 2,ภาคตะวันออกเฉียงเหนือ,รวม,หางานทำ,23.65,พันคน,สำนักงานสถิติแห่งชาติ
2560,ไตรมาสที่ 2,ภาคตะวันออกเฉียงเหนือ,รวม,ไม่หางานทำ/พร้อมที่จะทำงาน,87.09,พันคน,สำนักงานสถิติแห่งชาติ
2560,ไตรมาสที่ 3,ภาคตะวันออกเฉียงเหนือ,รวม,รวม,116.12,พันคน,สำนักงานสถิติแห่งชาติ
2560,ไตรมาสที่ 3,ภาคตะวันออกเฉียงเหนือ,รวม,หางานทำ,7.53,พันคน,สำนักงานสถิติแห่งชาติ
2560,ไตรมาสที่ 3,ภาคตะวันออกเฉียงเหนือ,รวม,ไม่หางานทำ/พร้อมที่จะทำงาน,108.58,พันคน,สำนักงานสถิติแห่งชาติ
2560,ไตรมาสที่ 4,ภาคตะวันออกเฉียงเหนือ,รวม,รวม,90.13,พันคน,สำนักงานสถิติแห่งชาติ
2560,ไตรมาสที่ 4,ภาคตะวันออกเฉียงเหนือ,รวม,หางานทำ,15.57,พันคน,สำนักงานสถิติแห่งชาติ
2560,ไตรมาสที่ 4,ภาคตะวันออกเฉียงเหนือ,รวม,ไม่หางานทำ/พร้อมที่จะทำงาน,74.56,พันคน,สำนักงานสถิติแห่งชาติ
2561,ไตรมาสที่ 1,ภาคตะวันออกเฉียงเหนือ,รวม,รวม,124.29,พันคน,สำนักงานสถิติแห่งชาติ
2561,ไตรมาสที่ 1,ภาคตะวันออกเฉียงเหนือ,รวม,หางานทำ,17.19,พันคน,สำนักงานสถิติแห่งชาติ
2561,ไตรมาสที่ 1,ภาคตะวันออกเฉียงเหนือ,รวม,ไม่หางานทำ/พร้อมที่จะทำงาน,107.09,พันคน,สำนักงานสถิติแห่งชาติ
2561,ไตรมาสที่ 2,ภาคตะวันออกเฉียงเหนือ,รวม,รวม,95.78,พันคน,สำนักงานสถิติแห่งชาติ
2561,ไตรมาสที่ 2,ภาคตะวันออกเฉียงเหนือ,รวม,หางานทำ,10.17,พันคน,สำนักงานสถิติแห่งชาติ
2561,ไตรมาสที่ 2,ภาคตะวันออกเฉียงเหนือ,รวม,ไม่หางานทำ/พร้อมที่จะทำงาน,85.61,พันคน,สำนักงานสถิติแห่งชาติ
2561,ไตรมาสที่ 3,ภาคตะวันออกเฉียงเหนือ,รวม,รวม,63.83,พันคน,สำนักงานสถิติแห่งชาติ
2561,ไตรมาสที่ 3,ภาคตะวันออกเฉียงเหนือ,รวม,หางานทำ,12.3,พันคน,สำนักงานสถิติแห่งชาติ
2561,ไตรมาสที่ 3,ภาคตะวันออกเฉียงเหนือ,รวม,ไม่หางานทำ/พร้อมที่จะทำงาน,51.53,พันคน,สำนักงานสถิติแห่งชาติ
2561,ไตรมาสที่ 4,ภาคตะวันออกเฉียงเหนือ,รวม,รวม,73.75,พันคน,สำนักงานสถิติแห่งชาติ
2561,ไตรมาสที่ 4,ภาคตะวันออกเฉียงเหนือ,รวม,หางานทำ,9.77,พันคน,สำนักงานสถิติแห่งชาติ
2561,ไตรมาสที่ 4,ภาคตะวันออกเฉียงเหนือ,รวม,ไม่หางานทำ/พร้อมที่จะทำงาน,63.98,พันคน,สำนักงานสถิติแห่งชาติ
2562,ไตรมาสที่ 1,ภาคตะวันออกเฉียงเหนือ,รวม,รวม,75.93,พันคน,สำนักงานสถิติแห่งชาติ
2562,ไตรมาสที่ 1,ภาคตะวันออกเฉียงเหนือ,รวม,หางานทำ,20.77,พันคน,สำนักงานสถิติแห่งชาติ
2562,ไตรมาสที่ 1,ภาคตะวันออกเฉียงเหนือ,รวม,ไม่หางานทำ/พร้อมที่จะทำงาน,55.16,พันคน,สำนักงานสถิติแห่งชาติ
2562,ไตรมาสที่ 2,ภาคตะวันออกเฉียงเหนือ,รวม,รวม,72.67,พันคน,สำนักงานสถิติแห่งชาติ
2562,ไตรมาสที่ 2,ภาคตะวันออกเฉียงเหนือ,รวม,หางานทำ,8.36,พันคน,สำนักงานสถิติแห่งชาติ
2562,ไตรมาสที่ 2,ภาคตะวันออกเฉียงเหนือ,รวม,ไม่หางานทำ/พร้อมที่จะทำงาน,64.32,พันคน,สำนักงานสถิติแห่งชาติ
2562,ไตรมาสที่ 3,ภาคตะวันออกเฉียงเหนือ,รวม,รวม,65.84,พันคน,สำนักงานสถิติแห่งชาติ
2562,ไตรมาสที่ 3,ภาคตะวันออกเฉียงเหนือ,รวม,หางานทำ,12.27,พันคน,สำนักงานสถิติแห่งชาติ
2562,ไตรมาสที่ 3,ภาคตะวันออกเฉียงเหนือ,รวม,ไม่หางานทำ/พร้อมที่จะทำงาน,53.57,พันคน,สำนักงานสถิติแห่งชาติ
2562,ไตรมาสที่ 4,ภาคตะวันออกเฉียงเหนือ,รวม,รวม,79.45,พันคน,สำนักงานสถิติแห่งชาติ
2562,ไตรมาสที่ 4,ภาคตะวันออกเฉียงเหนือ,รวม,หางานทำ,9.55,พันคน,สำนักงานสถิติแห่งชาติ
2562,ไตรมาสที่ 4,ภาคตะวันออกเฉียงเหนือ,รวม,ไม่หางานทำ/พร้อมที่จะทำงาน,69.9,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 1,ภาคตะวันออกเฉียงเหนือ,รวม,รวม,79.39,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 1,ภาคตะวันออกเฉียงเหนือ,รวม,หางานทำ,10.45,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 1,ภาคตะวันออกเฉียงเหนือ,รวม,ไม่หางานทำ/พร้อมที่จะทำงาน,68.93,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 2,ภาคตะวันออกเฉียงเหนือ,รวม,รวม,167.99,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 2,ภาคตะวันออกเฉียงเหนือ,รวม,หางานทำ,11.14,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 2,ภาคตะวันออกเฉียงเหนือ,รวม,ไม่หางานทำ/พร้อมที่จะทำงาน,156.84,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 3,ภาคตะวันออกเฉียงเหนือ,รวม,รวม,153.49,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 3,ภาคตะวันออกเฉียงเหนือ,รวม,หางานทำ,19.52,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 3,ภาคตะวันออกเฉียงเหนือ,รวม,ไม่หางานทำ/พร้อมที่จะทำงาน,133.97,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 4,ภาคตะวันออกเฉียงเหนือ,รวม,รวม,126.78,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 4,ภาคตะวันออกเฉียงเหนือ,รวม,หางานทำ,14.82,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 4,ภาคตะวันออกเฉียงเหนือ,รวม,ไม่หางานทำ/พร้อมที่จะทำงาน,111.96,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 1,ภาคตะวันออกเฉียงเหนือ,15-19 ปี,รวม,16.47,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 1,ภาคตะวันออกเฉียงเหนือ,15-19 ปี,หางานทำ,1.34,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 1,ภาคตะวันออกเฉียงเหนือ,15-19 ปี,ไม่หางานทำ/พร้อมที่จะทำงาน,15.13,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 2,ภาคตะวันออกเฉียงเหนือ,15-19 ปี,รวม,13.4,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 2,ภาคตะวันออกเฉียงเหนือ,15-19 ปี,หางานทำ,1.37,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 2,ภาคตะวันออกเฉียงเหนือ,15-19 ปี,ไม่หางานทำ/พร้อมที่จะทำงาน,12.03,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 3,ภาคตะวันออกเฉียงเหนือ,15-19 ปี,รวม,13.92,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 3,ภาคตะวันออกเฉียงเหนือ,15-19 ปี,หางานทำ,4.27,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 3,ภาคตะวันออกเฉียงเหนือ,15-19 ปี,ไม่หางานทำ/พร้อมที่จะทำงาน,9.65,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 4,ภาคตะวันออกเฉียงเหนือ,15-19 ปี,รวม,13.32,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 4,ภาคตะวันออกเฉียงเหนือ,15-19 ปี,หางานทำ,0.49,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 4,ภาคตะวันออกเฉียงเหนือ,15-19 ปี,ไม่หางานทำ/พร้อมที่จะทำงาน,12.83,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 1,ภาคตะวันออกเฉียงเหนือ,15-19 ปี,รวม,17.48,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 1,ภาคตะวันออกเฉียงเหนือ,15-19 ปี,หางานทำ,2,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 1,ภาคตะวันออกเฉียงเหนือ,15-19 ปี,ไม่หางานทำ/พร้อมที่จะทำงาน,15.48,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 2,ภาคตะวันออกเฉียงเหนือ,15-19 ปี,รวม,17.35,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 2,ภาคตะวันออกเฉียงเหนือ,15-19 ปี,หางานทำ,1.3,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 2,ภาคตะวันออกเฉียงเหนือ,15-19 ปี,ไม่หางานทำ/พร้อมที่จะทำงาน,16.05,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 3,ภาคตะวันออกเฉียงเหนือ,15-19 ปี,รวม,12.79,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 3,ภาคตะวันออกเฉียงเหนือ,15-19 ปี,หางานทำ,1.88,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 3,ภาคตะวันออกเฉียงเหนือ,15-19 ปี,ไม่หางานทำ/พร้อมที่จะทำงาน,10.91,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 4,ภาคตะวันออกเฉียงเหนือ,15-19 ปี,รวม,8.8,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 4,ภาคตะวันออกเฉียงเหนือ,15-19 ปี,หางานทำ,2.83,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 4,ภาคตะวันออกเฉียงเหนือ,15-19 ปี,ไม่หางานทำ/พร้อมที่จะทำงาน,5.97,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 1,ภาคตะวันออกเฉียงเหนือ,15-19 ปี,รวม,14.68,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 1,ภาคตะวันออกเฉียงเหนือ,15-19 ปี,หางานทำ,2.25,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 1,ภาคตะวันออกเฉียงเหนือ,15-19 ปี,ไม่หางานทำ/พร้อมที่จะทำงาน,12.43,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 2,ภาคตะวันออกเฉียงเหนือ,15-19 ปี,รวม,15.69,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 2,ภาคตะวันออกเฉียงเหนือ,15-19 ปี,หางานทำ,4.79,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 2,ภาคตะวันออกเฉียงเหนือ,15-19 ปี,ไม่หางานทำ/พร้อมที่จะทำงาน,10.91,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 3,ภาคตะวันออกเฉียงเหนือ,15-19 ปี,รวม,19.8,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 3,ภาคตะวันออกเฉียงเหนือ,15-19 ปี,หางานทำ,4.62,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 3,ภาคตะวันออกเฉียงเหนือ,15-19 ปี,ไม่หางานทำ/พร้อมที่จะทำงาน,15.18,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 4,ภาคตะวันออกเฉียงเหนือ,15-19 ปี,รวม,10.26,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 4,ภาคตะวันออกเฉียงเหนือ,15-19 ปี,หางานทำ,0.17,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 4,ภาคตะวันออกเฉียงเหนือ,15-19 ปี,ไม่หางานทำ/พร้อมที่จะทำงาน,10.09,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 1,ภาคตะวันออกเฉียงเหนือ,15-19 ปี,รวม,5.74,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 1,ภาคตะวันออกเฉียงเหนือ,15-19 ปี,หางานทำ,1.25,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 1,ภาคตะวันออกเฉียงเหนือ,15-19 ปี,ไม่หางานทำ/พร้อมที่จะทำงาน,4.49,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 2,ภาคตะวันออกเฉียงเหนือ,15-19 ปี,รวม,14.42,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 2,ภาคตะวันออกเฉียงเหนือ,15-19 ปี,หางานทำ,5.12,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 2,ภาคตะวันออกเฉียงเหนือ,15-19 ปี,ไม่หางานทำ/พร้อมที่จะทำงาน,9.3,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 3,ภาคตะวันออกเฉียงเหนือ,15-19 ปี,รวม,10.33,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 3,ภาคตะวันออกเฉียงเหนือ,15-19 ปี,หางานทำ,1.49,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 3,ภาคตะวันออกเฉียงเหนือ,15-19 ปี,ไม่หางานทำ/พร้อมที่จะทำงาน,8.84,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 4,ภาคตะวันออกเฉียงเหนือ,15-19 ปี,รวม,12.61,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 4,ภาคตะวันออกเฉียงเหนือ,15-19 ปี,หางานทำ,0.28,พันคน,สำนักงานสถิติแห่งชาติ
